can't help doing something.	忍不住
go wrong	出错
grow up	成年；长大
had better	最好还是；还是……好
hand in	上交
happen to do	碰巧做
happen to somebody	发生到某人身上
have got to	不得不
have a class or lesson	上课
have a good time	玩得很愉快；过得很愉快
have breakfast	吃早餐
have no idea	不清楚
have pity on somebody	怜悯某人
have sports	进行体育活动
hear from	收到……来信
hear of	听 说
help somebody with something	帮助某人做某事
here and there	到处
hold a meeting	举行会议
hold on	等一等(别挂电话)
hold one's breath	屏住呼吸
huge amounts of	大 量 的
in addition	另 外
in a hurry	匆 忙
in all	总 共
in a minute	一会儿
in brief	简而言之
in charge of	主管，负责
in class	在课上
in danger	处于危险中
in English	用英语
in fact	事实上；实际上
in favour of	赞成
in front of	在……前面
in hospital	住 院
in one's fifties	在某人五十多岁时
in one's opinion	根据某人的看法
in order to	为 了
in other words	换句话说
in return	作为回报
in surprise	惊奇地
in the end	最后；终于
in the future	在将来
in the middle of	在……中间
in the past	在过去，从前
in this way	这 样
in time	及时
in trouble	处于困境中
instead of	代替；而不是
jump to a conclusion	贸然断定；草率决定
just now	刚 才
keep a diary	记 日 记
keep doing something	继续做某事
keep fit	保持健康
keep...from	阻止；使……免于
keep in touch with	(与……)保持联系
keep off	阻挡；不让……接近
keep quiet	保持安静
keep somebody busy	让某人忙个不停
laugh at	嘲 笑
lay the table	(饭前)摆好餐具
learn from	向……学习
leave secondary school	(中学)毕业
leave a message	留个口信
leave for	动 身 去
less or more than	少于/多于
listen to	听……(讲话)
live on	靠……为生
look after	照料；照顾
look at	看；观看
look for	寻 找
look forward to	期待着
look like	看 上 去 像
look out	注意；留神
look up	查寻；抬头看
lose one's life	丧 生
lose one's way	迷 路
lose temper	发脾气
lose weight	减肥
make a decision	作出决定
make a film	拍 电 影
make a fire	生火
make a living	谋生
make a mistake	出差错；犯错误
make a noise	弄出声
make friends with	与……交朋友
make fun of	拿 …… 开 玩 笑
make money	挣钱；赚钱
make progress	取得进步
make the bed	整理床铺
make up one's mind	下决心
mobile phone	手机
next to	紧挨着；紧靠着
no longer or not...any longer	不 再
not...at all	(用来加强语气)一点也不，根本不
now and then or again	时而；偶尔
of course	当然
on average	平均；通常
on business	有事；出差
on foot	步行；走路
on holiday	在 休 假
on one's side	在某人一边
on the phone	在听电话
on the other hand	另外一方面
on the or one's way to	在去……路上
on time	准时
on weekdays	在工作日
once every four years	每四年一次
once more or again	再次
one after another	一个接一个，连续地
out of	从……里出来；缺乏
out of date	过时
over and over	再三；一次次
pay for	付……钱；买
pay attention to	注 意
pick out	挑 选 出
pick up	拾起
play a trick on	捉弄
play with	玩耍，摆弄
plenty of	大量的，充足的
point out	指 出
praise somebody for something	为某事表扬某人
prefer...to	(比起……来)更喜欢
prepare for	准备
prevent...from	阻止……做
protect...from	保护……免受
provide...with	向……提供
put off	延 期
put on	穿上；戴上；上演
put out	扑 灭
put up	举起；挂起
refer to	参考；涉及；指的是
rely on	依靠
run away	逃 跑
run out of	用完；耗尽
save one's life	挽救某人生命
search for	搜寻；搜查
see...off	为……送行
sell out	售 完
set out	动身，出发；着手做
shake hands with	与……握手
share...with	与……分享
shopping mall	大商场，大型购物中心
show off	炫耀
show somebody around	带某人参观
shut up	住口
so far	到目前为止
so that	(表示目的)为了，以便
some day	将来有一天
sooner or later	迟早
stand for	代表
stay up	熬夜
stop...from	阻止……做
such as	例 如
surf the Internet	上 网
take a look	看 一 看
take an underground	乘地铁
take a message for somebody	给某人捎个口信
take action	采取行动
take away	拿 走
take care of	照料
take charge of	负责，管理
take hold of	抓住
take notes	记 笔 记
take off	脱掉(衣物等)；起飞
take one's advice	听从某人劝告
take out	取 出
take part in	参加
take place	发生；举行
take the place of	取 代
take up	开始从事
talk about	谈 到
talk to or with somebody	与某人谈话
tell...from	区别；分辨
tell a lie	说谎
the same...as	与……同样
the week after next	下 下 周
think about	考虑(做某事的可行性)
think of	想起；想到
think over	仔细考虑
throw away	扔 掉
to one's joy or surprise	使某人高兴/惊奇的是
too...to	太……以至不能
tour guide	导 游
try on	试穿
turn down or up	(把音量)调低/高
turn into	变成
turn off	关掉(电灯，电视，收音机等)
turn on	开，旋开(电灯，电视，收音机等)
turn out	结果是；证明是
turn over	翻(车)；翻(页)；翻身
used to	过去常常
wait for	等候；等待
wake up	醒来；叫醒
what's more	而且
with great care	非常小心
with pleasure	愉快地
with the help of	在……的帮助下
work out	做出；算出；制定出
worry about	为……而担心
would like or love to	想要(表示喜欢，愿意)，很想；很愿意
would rather	宁愿
