youth	青少年时期；青春，青年人
traffic jams	交通堵塞;交通堵塞 ，也可以是 traffic jam
a pair of jeans	一条牛仔裤
play a joke on somebody	开某人的玩笑
joke with somebody	和某人开玩笑
journalist	记者，新闻工作者【C】
journey	旅行，旅程【C】
make on a journey	去旅行=go on a journey
judge	裁判；审判员；法官n；审判；断定vt
just now	刚才（常用过去式）;刚才
just then	就在那时
keen	热心的
be keen on something	热衷于某事
be keen on doing something	热衷于做某事
keep	保持；保存，继续不断；培养，饲养（kept）
keep something adjective	使某物保持某种状态（+形容词）
keep doing something	继续做某事
keep a dog	养一只狗=raise a dog
kid	开玩笑vi（kidded）；小孩【C】
kilogram	千克，公斤【C】=kilo
kilometre	千米（美kilometer）【C】
kindness	仁慈，好意 --kind善良的，友好的
unkind	不友善的
be kind to	对。。。友好的
kindergarten	幼儿园【C】
kitchen	厨房【C】
knives	小刀的复数
knock	敲门，打，击【U】vi
Knock at the door	敲门
know	了解；知道；认识；懂得vi vt（knew，known）
knowledge	知识，学问【U】--know动词
laboratory	实验室【C】=lab
in the lab	在实验室里
ladies	女士的复数
Ladies and gentlemen	女士们，先生们
in the lake	在湖中
on the lake	在湖面上
lantern	灯笼【C】
laughter	笑n --》动词：laugh
laugh at somebody	嘲笑某人
lawyer	律师【C】---law法律【U，C】
lay	放，搁；下蛋（laid，laid）vt
lazy	懒惰的（lazier，laziest）
lazily	懒惰地
laziness	懒惰n
lead	领导；带领vi vt（led，led）--leader领导人
learn	学习，学会（learnt，learnt或者learned，learned）---learner学习者，初学者
leave	离开，把。。。留下；剩下vt vi（left，left）；准假【U】
lecturer	演讲者，讲师 --lecture【C】讲座，演讲
attend a lecture	参加讲座
lend	借出；把。。。借给 vt（lent，lent）-》反义词：borrow
borrow something from somebody	借进
lend somebody something	借某物给某人=lend something to somebody
length	长度【U】 --long长的
librarian	图书管理员【C】 --library图书馆，图书室
lie	谎言；说谎v，【C】（lied，lied）；躺；卧；位于vi（lay，lain）
lives	生命的复数
lift	举起vt；电梯【C】--elevator
dislike	不喜欢 --反义：like
unlike	不像
like to do	喜欢做 --like doing
like doing	喜欢做
likely	很可能的adj；很可能地adv
time limit	限期
speed limit	限速
limited	有限的，限制的adj
liquid	液体【U】
litter	废物，垃圾【U】乱丢杂物vt vi
little	小的（less，least）；很少的，稍许adv；一点，没有多少【U】
locate	坐落于；确定。。。的地方vt --location
be located	坐落于be located in/on/at=lie in/on/at
location	位置；场所【C】
look at	看（强调动作）
look up	查找，抬头看
lose	失去vt（lost，lost)
lost	丢失的，迷路的
loud	大声的---loudly大声地adv
lovely	美好的，可爱的
luck	好运【U】
lucky	幸运的
unlucky	不幸的
luckily	幸运地；侥幸地
unluckily	不幸地
luggage	行李
lunch	午餐【U】
machine	机器【C】
washing machine	洗衣机
mad	发疯的；生气的adj
go mad	发疯
be mad at somebody about something	因某事生某人的气 = be mad with somebody
magazine	杂志
magic	魔术；魔法【C】 --magic 有魔力的；有神奇力量的adj
magician	魔术师
mail	邮件；邮递（美）【U】；邮寄vt
by mail	邮寄
main	主要的adj，=most important
mainly	主要地adv
major	主要的adj；（大学中的）主修科目【C】
play a major role in	在。。。中起重要作用
make	制造；做；使得（made，made）vt
male	男性的；雄的adj；男性【C】 --反义：female
mall	大型商场=shopping mall
men	【C】成年男人；人类【复数】
manage	管理；经营=run；处理；设法对付vt；
manager	经理n
manage a company	管理一家公司
manage to do something	成功地做某事=succeed in doing something
succeed in doing something	成功地做某事
manner	方式；态度，举止【C】
in a good manner	有礼貌 --反义：in a bad manner
many	许多的adj，（more，most）；pron许多人或物
a great many	许多
map	地图【C】
mark	标记，记号；符号；分数（考试等）【C】；标明，作记号于；给。。打分数
market	市场；集市【C】
marry	（使）成婚，结婚vt，vi
married	已婚的
marriage	婚姻n
marry somebody	嫁（娶）某人
get married to somebody	嫁（娶）某人
match	比赛，竞赛；火柴【C】--复数matches；与。。匹配vt
material	材料，原料【C】
maths	（美math）=mathematics数学（通常做单数用）
matter	要紧事，麻烦事，事情；问题；物质【U，C】；要紧，有关系vi
may	可以；也许，可能（might）
maybe	可能，大概；也许adv
meal	一餐（饭）【C】
mean	意思是，意味着vi，vt（meant，meant）；刻薄的adj
meaning	意思，意义；含义n；意味深长的adj
meaningful	有意义的adj
mean to do something	故意做某事
meat	肉【U】
medical	医学的，医疗的adj
medicine	药n【U】
medical school	医学院
medical care	医疗护理
take medicine	服药
medium	中间的，中等的adj
of medium height	中等身高
meet	遇见，见到；会见；迎接；满足vt（met，met）；会，集会【U】
meeting	会议，集会【U】；会见
at the meeting	在会上
attend a meeting	参加会议
member	成员，会员【C】
memory	回忆，记忆【U，C】--复数：memories
memorize	记忆v
in memory of	纪念
mention	提到，说起vt
menu	菜单【C】
mess	混乱；杂乱【C】--复数：messes；使不整洁；弄脏；弄乱vt vi
message	消息；音信【C】
messenger	送信人；通讯员；信使 n
leave a message for somebody	给某人留言
metal	金属【U】
a piece of metal	一块金属
method	方法，办法【C】
a method of something	做某事的方法 =  of doing something
metre	米，公尺【C】（美meter）
middle	中间；当中；中部n
in the middle of	在。。中间
mile	英里【C】
mind	思想；想法【U】；介意，关心vt vi
mind doing something	介意做某事
minus	负的，减去的adj & prep
miss	失去，错过，缺；惦记vt
Miss	小姐，女士（称呼未婚妇女）
mistake	错误【C】，弄错，误解vt
mix	混合，搅拌vt --mixture混合物
mixture	混合物【U，C】
model	模型；范例；模范；模特【C】
modern	现代的
moment	片刻，瞬间 [C]
at this moment	此时
monitor	班长；监视器【C】
monkey	猴子【C】
month	月份【C】--复数：months
mood	心情，语气，气氛【C】
in a bad mood	心情坏 --反义：in a good mood
in the mood	兴致勃勃
more	（much 或 many）的比较级；较多的；更大的；更多的；再，更adj；更多的量【U】
in the morning	在早上、上午
most	（much 或 many）的最高级；最大的，最多的，大多数的，大部分的；最adv；大部分，大多数【U】
motorcycle	摩托车【C】
mountain	山脉【C】
mouse	老鼠【C】；鼠标 --复数：mice
mice	复数的老鼠；鼠标
mouths	复数：嘴，口【C】
move	移动；搬动；搬家；感动vt vi
movie	电影C
Mr	先生
Mrs	夫人，太太
much	（修饰不可能名词）许多的，大量的adj；非常；更加adv；许多；大量【U】
museum	博物馆【C】
mushroom	蘑菇【C】
music	音乐；乐曲【U]
must	必须；需要；应当；必定是；一定 v&aux
name	名字，姓名，名称【C】；命名，名叫vt
narrow	狭窄的（narrower，narrowest）--反义：wide
wide	宽的;宽的；广泛的adj（wider，widest）
nation	民族；国家【C】
national	全国性的；国家的；民族的adj
nationality	国籍n --复数：nationalities
nationalities	国籍n 【复数】
on National Day	在国庆节那天
native	本地的，本国的，当地的adj；本地人，本国人【C】
natural	自然的，天然的adj --nature自然，本质n
nature	自然，本质n【U】
by nature	本性上，生性
naughty	顽皮的（naughtier，naughtiest）
near	在。。附近prep；附近的adj；临近adv
nearby	附近的adj；在附近adv
nearly	将近；几乎；差不多adv
necessary	必须的，必要的adj
need	需要；必须【v /aux】；需求；必要【U，C】
it is necessary for somebody to do	某人有必要做。。。
it is necessary that	从句。。。是必要的
make it necessary for somebody to do	使某人必须做
meet the needs of	满足。。。的需要，needs可用单数或复数
neighbour	（美neighbor）邻居【C】
neighbourhood	（美neighborhood）临近地区，街坊【C】
neither	（两者）都不pron；adj；也不adv；conj
neither A nor B	（A或B）都不
nervous	紧张的adj
be nervous about	。。。紧张不安，担心 = be nervous at
be nervous at	。。。紧张不安，担心 = be nervous about
net	网[C]
surf the net	上网浏览
network	网络；网络系统【C】
build up a network	建立网络
create a network	建立网络
set up a network	建立网络
never	绝不；从来没有adv
never mind	没关系
news	新闻；消息【U】
a piece of news	一则新闻
news conference	记者（招待）会
newspaper	报纸【C】
read a newspaper	看报纸
in a newspaper	在报上
next	最近的；紧挨着的；隔壁的；下一次的adj；最近地，然后；下一步
next to	在。。。旁边；紧挨着
next time	下次
next year	明年
the next year	第二年
at night	在夜里
during the night	在夜间=in the night
day and night	夜以继日 = night and day
last night	昨天晚上
good night	晚安
a good night's sleep	一夜好觉
noise	声音；噪声；响声【U，C】
make a noise	弄出声
noise pollution	噪音污染
reduce the noise	减少噪音
noisy	嘈杂的；喧闹的adj（noisier，noisiest）
none	没有任何东西；没有人pron
noodle	面条（常做noodles）【C】
nor	也不
north	北的；朝北的；北方的adj；北方；背部【U】
in the north of	在。。。的北部（在内部）
on the north of	在。。。的北边（接壤）
to the north of	在。。。以北（不接壤）
in the north	在北方
nose	鼻子【C】
note	便条，笔记；钞票【C】
nothing	没有东西，没有什么pron
notice	布告；通知；注意【U，C】；注意，注意到vt=see and realize something
notice somebody doing something	注意到某人在干什么
notice somebody do something	注意到某人干了某事（强调注意到了动作进展的全过程）
novel	小说【C】
now	现在adv
now that	既然，由于，=since
now and then	偶尔，有时=again
till now	到现在为止 = up to now
up to now	到现在为止
from now on	从现在起
from then on	从那时起
right now	立刻
nowadays	当今，现在adv
nowhere	任何地方都不adv
number	数字；号码；数量【C】
nurse	护士；保育员【C】
obey	服从；顺从；听从vt
observe	观察；观测vt
occupation	职业【C】
ocean	海洋【C】
o'clock	。。。点钟adv
of	（表示所属，数量，其中等）。。。的
off	离开，走开；断掉（水、电等）；完，光adv；脱离，走开；从。。。离开prep
put off	延期
take off	脱掉；起飞
keep off	阻挡
show off	炫耀
turn off	关掉（电、水等）;关掉（电灯，电视，收音机等）
offer	提供vt；【C】
office	办公室【C】
officer	官员，办事员【C】
official	官方的，政府的，官员的adj
often	经常adv
oil	油；石油【U】
old	年老的；古老的；就的adj（older，oldest或elder，eldest）
Olympic	奥林匹克的adj；奥林匹克（运动会）【C】
once	一次，一度，从前adv，conj，n
online	在线的adj；adv
only	只；只有；仅仅adv；唯一的，仅有的adj
onto	到。。。上面
open	打开；张开；开设vt；开着的，开口的；敞开的；营业中的adj
operate	动手术，开到vi；操作，运转vt --operation手术n
operation	手术n【C】
opinion	观点，看法【C】
in one's opinion	根据某人的看法
opposite	在。。。对面；相对的；对立的adj，prep
order	命令，指示；顺序【C】；命令；订购；点（菜、饮料等）vt
order somebody to do something	命令某人做某事
ordinary	普通的，平常的adj=common、usual
organization	组织，团体，机构【C】
organize	组织vt
other	其他的，另外的adj；别人，别的东西pron
ought to	应该，应当aux = should，后跟动词原形，否定形式为ought not to
out	向外，在外；离开adv
outdoor	室外的adj
outdoor activity	室外活动
outing	远足，郊游【C】（集体）出外游玩（或学习等）
go for an outing	外出远足
oven	炉子，烤箱【C】
over	在。。上方；越过；遍及；超过prep；结束；越过；翻转adv
more than	超过 = over
all over the world	遍及全世界;遍布全世界 == throughout the world
own	自己的adj；拥有vt
owner	拥有者，物主【C】
of one's own	属于某人自己的
Pacific	太平洋n
pack	包【C】；打包【vt】
pain	疼痛【U，C】
painful	疼痛的
paint	油漆，粉刷；绘画【vt vi】；油漆；涂料【U】；颜料【C】
painting	油画，水彩画，画【C】
oil paints	油画颜料
pair	一双；一对【C】
a pair of	一双；一副
a pair of trousers	一条裤子
two pairs of shoes	两双鞋子
a pair of glasses	一副眼镜
palace	宫殿；宫【C】
the Palace Museum	故宫
the Summer Palace	颐和园
pale	苍白的，灰白的adj
panda	熊猫【C】
paper	纸【U】；报纸=newspaper【C】；考卷（常做papers）；文件
a piece of paper	一张纸
parent	父母【C】，双亲（复数）=someone's father or mother
Paris	巴黎（法国首都）
park	公园【C】停放（车辆等）【vt】
part	部分；角色；部件；零件【C】
take part in	参加
partner	搭档，合作者【C】
party	聚会，晚会；政党；党派【C】复数：parties
pass	传，递；通过vt；经过，路过vi
passage	（文章等的）一节，一段；通道【C】
passenger	乘客，旅客【C】
passport	护照【C】
past	过。。。走过某处prep；过去；昔日；往事【U】
patient	病人【C】；耐心的adj
impatient	不耐烦的adj
patience	耐心n
pay	付钱，给。。。报酬vt，vi（paid）；工资【U】
P.E.	体育（physical education的缩写）
peace	和平【U】
peaceful	和平的adj
war and peace	战争与和平
pear	梨【C】
pearl	珍珠【C】
pen friend	笔友
a picture in pencil	铅笔画
people	人们，人民（视为复数）n
per	每一prep
eighty kilometers per hour	每小时80公里
percent	百分比【C】
perfect	完美的；极好的adj=excellent
performance	表演，演出；行动【C】
perhaps	可能，也许adv = maybe
personal	个人的adj；私人的
pet	宠物【C】
phone	电话【U】；电话机【C】=telephone；打电话vt vi
hang up the phone	挂断电话
photo	照片【C】=photograph
take photos	拍照
physical	身体的；物理的adj
physics	物理（学）n
piano	钢琴【C】 --pianist 钢琴家
pianist	钢琴家
pick	拾起；摘；采集；挑选vt
pick up	拾起
pick out	挑选出
picnic	野餐【C】
go on a picnic	去野餐
picture	图片，画片，照片；影片【C】
take pictures	拍照 = take photos
piece	一块（片，张，件，段。。。）【C】；碎片；部件
a piece of	一张（片，张，件，段。。。）
pilot	飞行员【C】
pin	用针别vt（pinned）；针【C】
pineapple	菠萝【C】
pioneer	先锋；开拓者【C】
pity	怜悯；同情；可惜【U】
have a pity on somebody	怜悯某人
pizza	比萨饼【U，C】two cheese pizzas 两张芝士比萨。【C】a piece of pizza 一块比萨。【U】
place	地方；处所【C】；放置【vt】
plan	计划，打算vt（planned）；【C】
make a plan	制定计划
plane	飞机【C】
planet	行星【C】
plant	种植=grow；播种vt；植物【C】
plastic	塑料的adj
plate	盘子；碟子；板；牌【C】
platform	讲台；站台【C】
play	玩vi；打球；演奏；扮演；播放vt；玩耍【U，C】；戏剧；剧本【C】
player	运动员，选手；演奏者n【C】
play with	玩耍，摆弄
play a trick on	捉弄
playground	操场，运动场【C】
pleasant	令人愉快的，舒适的adj
pleased	高兴的adj；感到满意的
be pleased with	对。。。感到满意的=be satisfied with;对。。。满意
pleasure	高兴；愉快n【U，C】
with pleasure	愉快地
plenty	丰富，充足；大量n
plenty of	大量的，充足的
plus	加，加上prep
P.M.	下午(p.m)
pocket	（衣服的）口袋【C】
pocket money	零花钱
poem	诗【C】
poet	诗人n
point	指；指向vi；点；分数；小数点【C】
point out	指出
pole	杆；极【C】
policemen	警察【复数】
policewomen	女警【复数】
polite	有礼貌的adj
politely	有礼貌地adv
politics	政治【U，C】
pollute	污染，弄脏vt
pollution	污染n【U，C】
pool	水塘，水池【U，C]
poor	贫穷的；可怜的；不好的adj
popular	流行的；大众的；受欢迎的adj = pop
population	人口，人数【U，C】
pork	猪肉【U，C】
possible	可能的，也许的adj
possibly	可能地，也许adv = maybe、perhaps、probably
post	邮政，邮寄，邮件【U】投寄；邮寄【vt】=mail
postcard	明信片【C】
poster	海报【C】
postmen	邮递员【复数】
pot	锅；壶；罐【C】
potato	土豆，马铃薯【C】
potatoes	土豆【复数】
pound	磅（重量单位）；英镑【C】
a pound of apples	一磅苹果
a five-pound note	一张五英镑的纸币
power	电源；能源；动力；电力【u】
powerful	强大的adj
practice	练习；实践【U，C】；vt=practise
praise	赞扬，表扬【U】vt
praise somebody for something	为某事而表扬某人
precious	宝贵的，珍贵的adj
predict	预言；预料v
prefer	宁愿（选择），更喜欢vt（preferred）注意双写r
prefer...to...	喜欢。。。多于，=like better than
prefer to do A rather than do B	宁愿做A而不愿意做B
prepare	准备，预备vt
prepare for	使做好准备，把。。。预备好 = get ready for
present	礼物；赠品【C】现在（仅用单数）；出现的，出席的adj
at present	目前，现在 = now、for the time being
president	总统；主席【C】
press	压，按vt
press the button	压按钮
pretend	假装，装作vt
pretend to do something	假装做某事
pretty	漂亮的 = beautiful
prevent	预防；防止；阻止，阻挡vt
prevent somebody from doing something	阻止某人做某事 = stop somebody from doing something
price	价格【U】
primary	初等的；初级的adj
primary school	小学
print	打印，印刷vt
prison	监狱【U，C】
prisoner	犯人
put into prison	入狱
private	私人的；私有的adj = personal
prize	奖赏，奖品【C】
the first prize	一等奖
probable	很可能发生（或存在等）的；很可能的；大概的 adj
probably	很可能地，大概，或许 adv = maybe、perhaps、possibly
problem	问题，难题，习题【C】
the key to the problem	处理问题的关键
process	处理；加工vt；过程【C】
produce	生产；产生；制造vt
product	产品n【U，C】
professional	专业的，职业的adj；专业人员；职业运动员【C】 --反义：unprofessional 不专业的
professional development	专业发展
professional knowledge	专业知识
programme	（美program）节目；项目；计划；（计算机）程序【C】；编写程序；为。。。制定计划v
progress	进步，进展【U，C】
make progress	取得进步
project	工程；课程；作业；项目；规划【C】
the Channel Tunnel project	海底隧道工程
promise	答应；承诺【C】【Vi】
promise to do something	承诺做某事
pronounce	发音vt
pronunciation	发音n
properly	恰当地，合适地adv = correctly
protect	保护vi
protect...from...	保护。。免受
proud	自豪的；骄傲的adj
be proud of	为。。感到骄傲，自豪
prove	证明vt --proof证明n
proof	证明n
prove to be	证实
proverb	谚语，格言【C】 = saying
saying	谚语，格言；俗语 【C】
an old saying	一句古老的谚语
provide	提供vt
provide ...with	提供；供应；给予
public	公共的，公众的adj；公众n
be in public	在公共场合
publish	出版vt
pull	拉；拖；拔vt
purpose	目的；用途【C】
on purpose	故意，有意地
push	推vt；【C】
put	放，摆vt vi（put，put）
put...down	吧。。。放下来
put out	伸出；扑灭
put on a play	上演一部戏
put on a coat	穿件外套
put off the meeting	会议延期举行
put up a picture	举起/挂起图片
quality	质量【u】
of good quality	质量好的
quarter	四分之一；一刻钟【C】
a quarter	四分之一，一刻钟
three quarters	四分之三,三刻钟
queen	皇后，女王【C】
Question	问题【C】
quick	快的；敏捷的；迅速的adj
quickly	快地；敏捷地；迅速地adv
quiet	安静的adj
quietly	安静地
quite	安全；十分；相当adv
quiz	测验【C】
race	比赛；赛跑vt vi；赛跑【C】
radio	无线电；收音机【C】
radios	无线电【复数】
railway	（美railroad）铁路；铁道【C】
rain	雨；雨水【u】下雨vt vi
rainy	有雨的；多雨的adj
raise	举起=put up；使升高；饲养，抚养；筹钱vt
put up	举起
raise money	筹钱
raise a child	抚养孩子
raise one's voice	提高嗓音
rarely	罕有；很少；不常adv
rather	相当，颇；宁可adv
would rather do than do	宁愿做。。。也不愿做
reach	到达vt
reach someplace	相当于get to someplace/arrive at or in someplace
read	读；朗读（read，read）vt vi
ready	准备好的；乐于adj
real	真实的，确实的；真正的adj
realize	认识到；实现 vt vi = notice、know about
really	真正地；确实
reason	理由；原因【C】
for some reason	出于某种原因
give a reason	说明原因
for whatever reason	因为种种原因
receive	收到，得到vt vi ==get
recent	近来的，最近的adj
recently	最近，近来adv
recognize	辨认出；认识vt vi
record	记录；唱片【C】；录音，录制；记录（重音在后面！！）
recorder	录音机
recycle	回收利用；使再循环vt
red	红色的adj（redder，reddest）；红色【U，c】
reduce	减少；缩减vt vi
reduce to	减少到
reduce by	减少了
reference	参考【U，C】
refuse	拒绝；不愿vt vi
refuse to do	拒绝做某事
regular	规则的，经常adj
irregular	不规则的adj
relationship	关系【C】
relative	亲属【C】
relax	使放松，轻松vi
relaxed	轻松的，自在的adj
relaxing	令人轻松的
release	释放，排放；发行，发表【C，u】vt
rely	依靠vi
rely on	依靠 =depend on
remember	记得；想起 vt vi
remember doing something	记得做过的事
remember to do something	记得去做某事
remind	提醒vt == cause somebody to remember to do
remind somebody of doing something	提醒某人做某事
remind somebody to do something	提醒某人做某事
remind somebody that	提醒某人+从句
repair	修理 【U，C】vt vi == fix、mend
repeat	重复 vt vi == say or do again
reply	回答，答复【U，C】vt vi（replied）
reply to	答复
report	报道；报告；成绩单【C】报告；汇报；（新闻）报道；调查报告【vt vi】
reporter	记者【C】
republic	共和国【C】
require	需求；要求vt vi == need
require somebody to do	要求某人做某事
require doing something	需要做某事
research	调查；研究【C】
resource	资源【C】
respect	尊敬，尊重【U】 vt
response	响应；反应；作答【U，C】
responsible	负责的，有责任心的adj
responsibility	责任，职责，责任心【U】
rest	休息；剩余部分，其余的人（物）【U,C】休息，歇息vi
restaurant	饭馆；饭店【C】
result	结果；成果【U，C】
retired	退休的adj
return	归还；偿还vt==give back；回来；返回 vi == come/go back
reuse	再利用vt
review	复习；评论【U,C】 vt == go over
revision	复习 n
reward	奖励，奖赏；报酬；报答，回报【C】；奖励；奖赏；给。。。以报酬vt
rice	稻米；米饭【U】
rid	使摆脱vt（rid，rid）
ride	骑（马、自行车等）vt vi（rode，ridden）；骑车旅行【C】
rode	骑【过去式】
ridden	汽【过去分词】
right	对；正确的；恰当的；右边的adj；正确地；恰恰；向右，在右边adv；右；权利【U，C】
ring	打电话；铃声；环形物【U，C】；（钟、铃）响；摇铃；打电话【Vt vi】（rang，rung）
rang	过去式ring
rung	过去分词ring
rise	上升；上涨；起立vi（rose，risen）
rose	过去式rise；rose玫瑰花【C】
risen	过去分词rise
river	江；河【C】
road	路；道路【C】
roast	烤（肉）vt
robot	机器人【C】
rock	岩石【U，C】
rocket	火箭【C】
role	角色【C】
role play	角色表演
room	空间；地方；房间，室【U，C】
root	根；根源；起源【C】
rope	绳子【C】
round	圆的；球形的adj；环绕地；在周围adv；环绕一周，围着prep
row	一排，一行【C】
rubbish	垃圾；废物【U】
rude	无理的，粗鲁的adj
rule	规则；规定【C】；统治vt
run	跑，奔跑；经营==manage，管理vt vi（ran，run）；奔跑【C】
run away	逃跑
rush	冲，奔跑vi
sad	悲伤的adj（sadder，saddest）
sadly	悲伤地adv，忧愁地，令人遗憾地；不幸地
safe	安全的；平安的adj；保险柜【C】
safely	安全地；平安地adv
safety	安全；平安n
save	挽救；节省vt
save one's life	救命
salary	薪金，薪水【C】
salaries	【复数】薪水
sale	卖，出售【C】
on sale	打折
for sale	出售
be responsible for sales	负责销售
salt	盐【U，C】
salty	咸的adj；含盐的
salty water	盐水
same	同样的adj；同样的事pron
the same as	和。。。一样
sandwich	三明治【C】
satisfied	满足的，满意的adj
satisfying	令人满意的，令人满足的adj
be satisfied with	对。。。感到满意 == be pleased with;对。。。满意
sauce	酱汁；调味汁【U，C】
say	说，讲vt（said，said）
schedule	安排；预定；为。。。安排时间v；时间表；节目表；工作计划【C】
ahead of schedule	提前
school	学校【C】
science	科学，自然科学【U，C】
scientist	科学家n【C】
score	得分；分数【C】
screen	屏幕；荧光屏【C】
sea	海洋【C】
seafood	海鲜【U，C】
search	搜寻；搜查vi 【n】
seaside	海滨【C】
season	季节【C】
seasonal	季节的adj
seasonal changes	季节变化
seat	座位【C】
second	第二个；秒【C】；第二位的adj；其次，第二位地adv;第二
secondary	中等的；第二的adj
secondary school	中学
secret	秘密【C】
secretary	秘书n【C】
secretaries	秘书【复数】
section	部分；部门；栏目【C】
see	看见，看到；领会，理解；拜访，会见vt（saw，seen）
see somebody doing something	看见某人正在做某事
see somebody do something	看见某人做某事
seed	种子【C】
seem	似乎，好像vi
seem to	看上去好像做了某事
seldom	很少，不常adv
select	选择，挑选，选拔vt
sell	卖；销售；出售vt（sold，sold）
send	打发，派遣；送，邮寄vt（sent，sent）
senior	年长的；高年级的；高级的adj
senior school	高中
sense	感觉；意识；感官【C】
sentence	句子【C】
serious	严肃的；严重的；认真的adj
seriously	严肃地；严重地；认真地adv
serve	招待（顾客等）；为。。。服务vt == work for
service	服务；公用事业n【C】
servant	仆人n
set	释放，安置；树立（榜样）；创造（记录）vi（set，set）
settle	安家，定居；解决vi
settle down	安置
several	几个adj
shake	握（手），摇（头）；使震动vt（shook，shaken）
shall	（表示将来）将要，会；（征求意见）。。。好吗？【v】【aux】（should）
shame	遗憾的事;羞愧【C】
shape	形状；外形；样子【C】
share	分享；共同使用vt
share something with somebody	和。。。分享。。。
sheep	（绵）羊【C】 --复数：sheep
shelf	架子；搁板【C】 --复数：shelves
shelves	架子【复数】
shine	发光；照耀；使发光vi（shone，shone）
shone	发光【过去式，过去分词】
ship	轮船【C】
by ship	乘船
shirt	男衬衫【C】
shoe	鞋【C】
a pair of shoes	一双鞋
shop	店铺【C】；购物vi
go shopping	去购物
do some shopping	购物
short	短的；矮的；短缺的adj
in short supply	不充裕；短缺；紧缺
should	应当，应该，会 aux v；（做情态动词，后接动词原形）
shout	喊；高声呼喊【C】 vi
shout at	对。。。喊叫
show	给。。。看；出示；显示；告知；表明vt（showed，shown）；展示；演出；节目；展览会【C】
show around	带领。。。参观
show somebody something	给。。。看 == show something to somebody
shower	阵雨；淋浴【C】
take a shower	洗淋浴
shut	关上，封闭vt（shut，shut）
shy	害羞的adj（shyer，shyest）
shyer	害羞的【比较级】
shyest	害羞的【最高级】
sick	有病的，患病的；（想）呕吐的；恶心的adj
side	边，旁边；面，侧面【C】
inside	在。。。里面prep；在里面adv
outside	在。。。外面prep；在外面adv
sight	风景；视力【U，C】
sightseeing	游览，观光n【U，C】
sign	符号，标记【C】；签名，署名vt
signal	信号；手势n【C】
silent	静的，无声的adj
silence	寂静n
keep silent	保持安静
silk	丝绸，丝【u】
silly	傻的，愚蠢的adj（sillier，silliest） == stupid
sillier	愚蠢的【比较级】
silliest	愚蠢的【最高级】
similar	相似的，像adj
simple	简单的，简易的adj
since	从。。。以来；自从prep；从。。以来；由于，既然conj
since then	从那以后
sing	唱歌vt（sang，sung）
sang	唱歌【过去式】
sung	唱歌【过去分词】
singer	歌手n；歌唱家【C】
song	歌唱；歌曲n【C】
single	单一的，单个的；单身的adj
sir	先生；阁下【U，C】
sister	姐；妹【C】
sit	坐vi（sat，sat）
situation	形势，情况；场面【C】
size	尺寸；大小【C】
skate	溜冰vi
go skating	去溜冰
skill	技能，技巧【C】
skin	皮肤【U，C】
skirt	女裙【C】
sky	天空【U，C】
sleep	睡觉vi（slept，slept）；睡眠【U，C】
slept	睡觉【过去式，过去分词】
asleep	睡着的adj
slow	慢慢的，缓慢的adj
slowly	慢慢地，缓慢地adv
smell	闻到；嗅vt vi（smelt，smelt）；气味【U，C】
smell good	好闻
smile	微笑 vi，n
smoke	烟【U，C】；冒烟；吸烟vt
snack	小吃【C】
local snacks	地方小吃
snow	雪【U，C】；下雪vi
snowy	下雪的，多雪的adj
so	如此，这么；也，同样adv；因此，所以；为的是，以便conj
so as to	为了。。。
so...that...	如此。。以至。。。
social	社会上的；社会地位的；社交的；好社交的adj
social responsibility	社会责任
social environment	社会环境
social system	社会制度
social practice	社会实践
society	社会【C】 --social adj
soft	软的，柔和的adj
softly	温柔地adv
soft drinks	碳酸饮料
soldier	士兵；战士【C】
solution	解决方法；解答【C】
solve	解决，解答vt == work out
work out	解决 ==solve;做出；算出；制定出 == solve解答
the solution to the problem	解决问题的方法
some	一些，若干；几个；某一adj；若干，一些pron
some day	将来某一天 == someday
somebody	某人；有人pron == someone
nobody	谁也不；没人pron == no one
something	某事；某物pron
sometimes	有时adv
son	儿子【C】
soon	不久；很快；一会儿adv
as soon as	一。。。就。。。
sorry	对不起的；抱歉的；难过的adj
say sorry to somebody for something	为。。。向。。。道歉 == apologize to somebody for something
apologize to somebody for something	为。。。向。。。道歉
I am really sorry for being late	我很抱歉迟到了
sound	声音【U，C】；听起来；发出声音vt vi
sound interesting	听起来有趣
soup	汤【U，C】
south	南；南方；南部【U，C】；南方的；向南的adj
southern	南面的，南部的
space	空间，太空【U，C】
in space	在太空
spaceship	宇宙飞船【C】
spare	空闲的；多余的，剩余的adj
in one's spare time	在某人的业余时间
speak	说，讲；谈话；发言vt（spoke，spoken）
spoke	【过去式】speak
spoken	【过去分词】speak
speech	演讲，说话n【C】
special	特别的，专门的adj
give a speech	作演讲
speed	速度【C】；使加速vi
at the same speed	以相同的速度
spend	度过；花费（钱、时间等）vt
spoon	调羹【C】
sport	体育运动；锻炼【C】
spread	延伸；展开；传播；扩散；散布 vt（spread， spread）
spread your wings	张开你的翅膀
spring	春天，春季【U，C】
in spring	在春天
square	广场【C】；平方的；方形的adj
People's Square	人民广场
staff	全体职员【C】
stamp	邮票【C】
stand	站；起立vi（stood，stood）
star	恒星，星【C】
start	开始；着手；出发vt；开端，开始【C】
state	状态；情形；国家，（美国的）州【C】
station	车站；电台【C】
stay	停留，逗留，呆【C】【vi】；保持【vi】
steak	牛排【C】
steal	偷，窃取vt（stole，stolen）
stole	【过去式】steal
